date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-01-02,2357,5266565,2560400762,494.0,498.0,479.0,485.0,-4.5,13134
2024-01-03,2357,10317823,4820840060,478.0,482.0,459.0,465.0,-20.0,11628
2024-01-04,2357,7718355,3514563933,465.0,467.0,450.5,454.0,-11.0,8817
2024-01-05,2357,4542745,2068494080,456.5,461.5,451.0,454.0,0.0,5480
2024-01-08,2357,3869864,1768834925,459.0,463.5,452.5,453.5,-0.5,4504
2024-01-09,2357,3836812,1754809908,461.5,464.0,453.5,455.0,1.5,3994
2024-01-10,2357,4567018,2099507365,455.0,464.0,451.5,461.0,6.0,4482
2024-01-11,2357,3029283,1389571870,462.0,463.0,455.0,461.0,0.0,3889
2024-01-12,2357,4914293,2209909692,459.0,459.0,445.0,448.5,-12.5,7530
2024-01-15,2357,2917972,1312743951,452.0,455.0,446.0,447.0,-1.5,3917
2024-01-16,2357,3955229,1746775427,445.5,445.5,439.0,440.5,-6.5,4778
2024-01-17,2357,5065350,2228513012,441.0,444.5,436.5,439.0,-1.5,5378
2024-01-18,2357,4229401,1891078825,439.0,452.5,439.0,445.0,6.0,4449
2024-01-19,2357,3783224,1705488446,448.0,455.0,445.5,455.0,10.0,4536
2024-01-22,2357,4437172,2038154970,456.0,465.0,455.0,459.5,4.5,5288
2024-01-23,2357,2496061,1140670060,460.0,462.5,454.5,456.5,-3.0,3170
2024-01-24,2357,2214417,1012585847,457.0,461.5,454.0,455.0,-1.5,2708
2024-01-25,2357,2024321,926070415,457.0,460.5,454.5,458.0,3.0,2412
2024-01-26,2357,5168551,2280983518,453.0,453.5,436.5,439.0,-19.0,7546
2024-01-29,2357,1900426,840655061,436.0,445.0,436.0,444.0,5.0,2308
2024-01-30,2357,3281842,1468627418,443.5,451.0,439.5,447.5,3.5,3179
2024-01-31,2357,5042135,2245831730,446.0,453.0,441.0,445.5,-2.0,3396
2024-02-01,2357,1772185,789068320,447.0,448.0,442.0,447.0,1.5,2041
2024-02-02,2357,3390674,1537839163,451.0,458.0,450.0,455.0,8.0,3388
2024-02-05,2357,2823235,1275735945,450.5,455.0,448.5,452.0,-3.0,3115
2024-02-15,2357,5895947,2729606558,464.0,467.0,457.0,464.0,12.0,6365
2024-02-16,2357,7291033,3505703156,462.5,488.0,462.0,479.5,15.5,8270
2024-02-19,2357,3367519,1595853540,482.5,482.5,467.5,477.5,-2.0,6358
2024-02-20,2357,2503534,1183777617,475.5,479.0,470.0,473.0,-4.5,3200
2024-02-21,2357,3447211,1634157352,476.0,487.0,466.0,469.0,-4.0,4015
2024-02-22,2357,3317620,1552667015,473.0,477.0,462.5,469.0,0.0,3452
2024-02-23,2357,3616173,1729746294,473.0,482.5,473.0,474.0,5.0,4307
2024-02-26,2357,2568802,1205279763,472.0,473.5,464.5,470.5,-3.5,4449
2024-02-27,2357,7832359,3578121818,461.5,462.0,452.0,454.5,-16.0,8368
2024-02-29,2357,6920805,3146511936,450.0,462.5,448.0,455.0,0.5,4891
2024-03-01,2357,2473455,1135821316,457.0,466.0,456.0,457.0,2.0,2692
2024-03-04,2357,2728612,1256229710,460.5,467.0,457.0,457.0,0.0,3253
2024-03-05,2357,3456791,1606727847,458.0,470.0,458.0,466.0,9.0,4378
2024-03-06,2357,2342184,1096122933,465.0,471.5,462.5,471.0,5.0,3360
2024-03-07,2357,2193189,1017970212,470.0,471.0,461.0,462.0,-9.0,3818
2024-03-08,2357,2942729,1339911743,461.5,461.5,451.0,452.5,-9.5,4968
2024-03-11,2357,4202434,1868252341,453.0,457.0,439.5,444.0,-8.5,6371
2024-03-12,2357,3380619,1493604186,442.5,446.0,437.0,441.0,-3.0,4123
2024-03-13,2357,4298757,1892568372,441.0,444.5,436.0,436.0,-5.0,4841
2024-03-14,2357,3626786,1569050650,435.0,436.5,428.0,433.5,-2.5,4918
2024-03-15,2357,7119210,3057809787,428.0,434.5,428.0,429.0,-4.5,4517
2024-03-18,2357,11785477,4818359509,429.0,433.5,401.0,408.5,-20.5,17289
2024-03-19,2357,6509854,2670040219,406.5,415.0,405.0,407.5,-1.0,7159
2024-03-20,2357,4446036,1846821015,409.0,419.5,409.0,414.0,6.5,6110
2024-03-21,2357,4526897,1887923737,414.5,422.0,411.5,420.0,6.0,5325
2024-03-22,2357,5535087,2355887905,424.0,436.5,420.5,421.5,1.5,6635
2024-03-25,2357,2245563,951527492,421.5,426.5,419.5,423.5,2.0,2974
2024-03-26,2357,3445234,1446733200,421.0,426.0,416.5,417.0,-6.5,4292
2024-03-27,2357,2633128,1114916219,418.0,427.5,416.5,424.5,7.5,3185
2024-03-28,2357,3472528,1471354395,423.0,430.0,418.5,423.5,-1.0,3653
2024-03-29,2357,2370306,1014140117,423.5,429.5,423.0,429.5,6.0,2644
2024-04-01,2357,2091878,891190360,431.5,432.0,423.0,423.0,-6.5,2748
2024-04-02,2357,2355016,997593338,423.5,427.0,421.5,423.0,0.0,2946
