DATE,STOCK_ID,TRADING_VOLUME,TRADING_MONEY,OPEN,MAX,MIN,CLOSE,SPREAD,TRADING_TURNOVER,MA_30,MA_90,MACD_DIF,MACD_SIGNAL,MACD_HISTOGRAM,BOLL_MID,BOLL_UPPER_1p5,BOLL_LOWER_1p5,BOLL_UPPER_2p0,BOLL_LOWER_2p0
2024-01-02,2357,5266565,2560400762,494.0,498.0,479.0,485.0,-4.5,13134,,,0.0,0.0,0.0,,,,,
2024-01-03,2357,10317823,4820840060,478.0,482.0,459.0,465.0,-20.0,11628,,,-1.5954,-0.3191,-1.2764,,,,,
2024-01-04,2357,7718355,3514563933,465.0,467.0,450.5,454.0,-11.0,8817,,,-3.7047,-0.9962,-2.7085,,,,,
2024-01-05,2357,4542745,2068494080,456.5,461.5,451.0,454.0,0.0,5480,,,-5.3151,-1.86,-3.4551,,,,,
2024-01-08,2357,3869864,1768834925,459.0,463.5,452.5,453.5,-0.5,4504,,,-6.5561,-2.7992,-3.7569,,,,,
2024-01-09,2357,3836812,1754809908,461.5,464.0,453.5,455.0,1.5,3994,,,-7.334,-3.7062,-3.6278,,,,,
2024-01-10,2357,4567018,2099507365,455.0,464.0,451.5,461.0,6.0,4482,,,-7.3813,-4.4412,-2.9401,,,,,
2024-01-11,2357,3029283,1389571870,462.0,463.0,455.0,461.0,0.0,3889,,,-7.3342,-5.0198,-2.3144,,,,,
2024-01-12,2357,4914293,2209909692,459.0,459.0,445.0,448.5,-12.5,7530,,,-8.2109,-5.658,-2.5529,,,,,
2024-01-15,2357,2917972,1312743951,452.0,455.0,446.0,447.0,-1.5,3917,,,-8.9238,-6.3112,-2.6127,,,,,
2024-01-16,2357,3955229,1746775427,445.5,445.5,439.0,440.5,-6.5,4778,,,-9.8992,-7.0288,-2.8704,,,,,
2024-01-17,2357,5065350,2228513012,441.0,444.5,436.5,439.0,-1.5,5378,,,-10.6703,-7.7571,-2.9132,,,,,
2024-01-18,2357,4229401,1891078825,439.0,452.5,439.0,445.0,6.0,4449,,,-10.6742,-8.3405,-2.3336,,,,,
2024-01-19,2357,3783224,1705488446,448.0,455.0,445.5,455.0,10.0,4536,,,-9.7578,-8.624,-1.1338,,,,,
2024-01-22,2357,4437172,2038154970,456.0,465.0,455.0,459.5,4.5,5288,,,-8.5697,-8.6131,0.0434,,,,,
2024-01-23,2357,2496061,1140670060,460.0,462.5,454.5,456.5,-3.0,3170,,,-7.7805,-8.4466,0.6661,,,,,
2024-01-24,2357,2214417,1012585847,457.0,461.5,454.0,455.0,-1.5,2708,,,-7.1932,-8.1959,1.0027,,,,,
2024-01-25,2357,2024321,926070415,457.0,460.5,454.5,458.0,3.0,2412,,,-6.4118,-7.8391,1.4273,,,,,
2024-01-26,2357,5168551,2280983518,453.0,453.5,436.5,439.0,-19.0,7546,,,-7.2421,-7.7197,0.4776,,,,,
2024-01-29,2357,1900426,840655061,436.0,445.0,436.0,444.0,5.0,2308,,,-7.4113,-7.658,0.2467,453.775,469.6467,437.9033,474.9372,432.6128
2024-01-30,2357,3281842,1468627418,443.5,451.0,439.5,447.5,3.5,3179,,,-7.1802,-7.5625,0.3823,451.9,463.4233,440.3767,467.2643,436.5357
2024-01-31,2357,5042135,2245831730,446.0,453.0,441.0,445.5,-2.0,3396,,,-7.0768,-7.4653,0.3885,450.925,461.6517,440.1983,465.2273,436.6227
2024-02-01,2357,1772185,789068320,447.0,448.0,442.0,447.0,1.5,2041,,,-6.7955,-7.3314,0.5358,450.575,461.321,439.829,464.903,436.247
2024-02-02,2357,3390674,1537839163,451.0,458.0,450.0,455.0,8.0,3388,,,-5.8595,-7.037,1.1775,450.625,461.4139,439.8361,465.0102,436.2398
2024-02-05,2357,2823235,1275735945,450.5,455.0,448.5,452.0,-3.0,3115,,,-5.2988,-6.6894,1.3906,450.55,461.3032,439.7968,464.8877,436.2123
2024-02-15,2357,5895947,2729606558,464.0,467.0,457.0,464.0,12.0,6365,,,-3.8417,-6.1198,2.2781,451.0,462.5858,439.4142,466.4477,435.5523
2024-02-16,2357,7291033,3505703156,462.5,488.0,462.0,479.5,15.5,8270,,,-1.42,-5.1799,3.7599,451.925,466.6406,437.2094,471.5458,432.3042
2024-02-19,2357,3367519,1595853540,482.5,482.5,467.5,477.5,-2.0,6358,,,0.3341,-4.0771,4.4112,452.75,469.5619,435.9381,475.1659,430.3341
2024-02-20,2357,2503534,1183777617,475.5,479.0,470.0,473.0,-4.5,3200,,,1.3456,-2.9925,4.3381,453.975,472.0169,435.9331,478.0308,429.9192
2024-02-21,2357,3447211,1634157352,476.0,487.0,466.0,469.0,-4.0,4015,456.1833,,1.8036,-2.0333,3.8369,455.075,473.6119,436.5381,479.7908,430.3592
2024-02-22,2357,3317620,1552667015,473.0,477.0,462.5,469.0,0.0,3452,455.65,,2.1419,-1.1983,3.3402,456.5,474.847,438.153,480.9626,432.0374
2024-02-23,2357,3616173,1729746294,473.0,482.5,473.0,474.0,5.0,4307,455.95,,2.7814,-0.4023,3.1838,458.25,476.3982,440.1018,482.4477,434.0523
2024-02-26,2357,2568802,1205279763,472.0,473.5,464.5,470.5,-3.5,4449,456.5,,2.9716,0.2724,2.6991,459.525,477.483,441.567,483.469,435.581
2024-02-27,2357,7832359,3578121818,461.5,462.0,452.0,454.5,-16.0,8368,456.5167,,1.8103,0.58,1.2303,459.5,477.4737,441.5263,483.4649,435.5351
2024-02-29,2357,6920805,3146511936,450.0,462.5,448.0,455.0,0.5,4891,456.5667,,0.9198,0.648,0.2718,459.275,477.3119,441.2381,483.3242,435.2258
2024-03-01,2357,2473455,1135821316,457.0,466.0,456.0,457.0,2.0,2692,456.6333,,0.3711,0.5926,-0.2215,459.3,477.3286,441.2714,483.3381,435.2619
2024-03-04,2357,2728612,1256229710,460.5,467.0,457.0,457.0,0.0,3253,456.5,,-0.063,0.4615,-0.5245,459.4,477.3845,441.4155,483.3794,435.4206
2024-03-05,2357,3456791,1606727847,458.0,470.0,458.0,466.0,9.0,4378,456.6667,,0.3156,0.4323,-0.1167,459.8,477.9105,441.6895,483.9474,435.6526
2024-03-06,2357,2342184,1096122933,465.0,471.5,462.5,471.0,5.0,3360,457.4167,,1.0074,0.5473,0.4601,461.4,478.2982,444.5018,483.9309,438.8691
2024-03-07,2357,2193189,1017970212,470.0,471.0,461.0,462.0,-9.0,3818,457.9167,,0.8201,0.6019,0.2182,462.3,478.0423,446.5577,483.2897,441.3103
2024-03-08,2357,2942729,1339911743,461.5,461.5,451.0,452.5,-9.5,4968,458.3167,,-0.0939,0.4627,-0.5566,462.55,477.8178,447.2822,482.9071,442.1929
2024-03-11,2357,4202434,1868252341,453.0,457.0,439.5,444.0,-8.5,6371,458.4833,,-1.487,0.0728,-1.5598,462.475,477.9481,447.0019,483.1058,441.8442
2024-03-12,2357,3380619,1493604186,442.5,446.0,437.0,441.0,-3.0,4123,458.35,,-2.8008,-0.502,-2.2989,462.175,478.4679,445.8821,483.8988,440.4512
2024-03-13,2357,4298757,1892568372,441.0,444.5,436.0,436.0,-5.0,4841,457.7167,,-4.1971,-1.241,-2.9561,461.225,479.6195,442.8305,485.751,436.699
2024-03-14,2357,3626786,1569050650,435.0,436.5,428.0,433.5,-2.5,4918,456.85,,-5.4427,-2.0813,-3.3613,460.3,480.7274,439.8726,487.5366,433.0634
2024-03-15,2357,7119210,3057809787,428.0,434.5,428.0,429.0,-4.5,4517,455.9333,,-6.7155,-3.0081,-3.7073,458.55,481.4503,435.6497,489.0837,428.0163
2024-03-18,2357,11785477,4818359509,429.0,433.5,401.0,408.5,-20.5,17289,454.3833,,-9.2715,-4.2608,-5.0107,455.0,482.189,427.811,491.252,418.748
2024-03-19,2357,6509854,2670040219,406.5,415.0,405.0,407.5,-1.0,7159,452.7,,-11.2482,-5.6583,-5.5899,451.5,481.7897,421.2103,491.8863,411.1137
2024-03-20,2357,4446036,1846821015,409.0,419.5,409.0,414.0,6.5,6110,451.8667,,-12.1502,-6.9567,-5.1935,448.55,480.3092,416.7908,490.8956,406.2044
2024-03-21,2357,4526897,1887923737,414.5,422.0,411.5,420.0,6.0,5325,451.0667,,-12.2397,-8.0133,-4.2265,446.1,478.3712,413.8288,489.1283,403.0717
2024-03-22,2357,5535087,2355887905,424.0,436.5,420.5,421.5,1.5,6635,450.2,,-12.0508,-8.8208,-3.23,443.725,475.9373,411.5127,486.6748,400.7752
2024-03-25,2357,2245563,951527492,421.5,426.5,419.5,423.5,2.0,2974,449.4667,,-11.6059,-9.3778,-2.2281,441.2,472.2231,410.1769,482.5641,399.8359
2024-03-26,2357,3445234,1446733200,421.0,426.0,416.5,417.0,-6.5,4292,448.4667,,-11.6435,-9.8309,-1.8126,438.525,468.7438,408.3062,478.8167,398.2333
2024-03-27,2357,2633128,1114916219,418.0,427.5,416.5,424.5,7.5,3185,447.45,,-10.9421,-10.0532,-0.8889,437.025,467.0403,407.0097,477.0454,397.0046
2024-03-28,2357,3472528,1471354395,423.0,430.0,418.5,423.5,-1.0,3653,446.5,,-10.3476,-10.1121,-0.2355,435.45,465.0885,405.8115,474.968,395.932
2024-03-29,2357,2370306,1014140117,423.5,429.5,423.0,429.5,6.0,2644,445.35,,-9.2853,-9.9467,0.6614,434.075,462.7658,405.3842,472.3294,395.8206
2024-04-01,2357,2091878,891190360,431.5,432.0,423.0,423.0,-6.5,2748,443.4667,,-8.8656,-9.7305,0.8648,432.375,460.0987,404.6513,469.34,395.41
2024-04-02,2357,2355016,997593338,423.5,427.0,421.5,423.0,0.0,2946,441.65,,-8.4359,-9.4716,1.0357,430.225,455.4078,405.0422,463.8021,396.6479
2024-04-03,2357,2543648,1075384921,420.5,425.5,419.5,422.5,-0.5,2353,439.9667,,-8.0429,-9.1858,1.1429,427.8,448.5467,407.0533,455.4622,400.1378
2024-04-08,2357,1790896,760536608,420.5,427.0,420.0,426.0,3.5,2385,438.5333,,-7.3641,-8.8215,1.4573,426.0,442.8708,409.1292,448.4944,403.5056
2024-04-09,2357,2144933,910793983,423.5,426.5,422.5,425.0,-1.0,2649,437.0667,,-6.8282,-8.4228,1.5946,424.625,438.6644,410.5856,443.3442,405.9058
2024-04-10,2357,4973627,2188404469,433.0,446.5,433.0,435.0,10.0,6190,435.7667,,-5.5328,-7.8448,2.312,424.175,437.017,411.333,441.2977,407.0523
2024-04-11,2357,6292866,2799884535,438.0,455.0,429.5,453.5,18.5,7765,435.2,,-2.979,-6.8717,3.8926,424.8,440.0416,409.5584,445.1221,404.4779
2024-04-12,2357,4649675,2069924815,448.0,448.5,442.5,443.5,-10.0,5686,434.8333,,-1.742,-5.8457,4.1038,425.175,441.2539,409.0961,446.6135,403.7365
2024-04-15,2357,2358397,1041307662,440.0,446.0,438.5,440.5,-3.0,3042,434.35,,-0.9922,-4.875,3.8828,425.525,442.1937,408.8563,447.7499,403.3001
2024-04-16,2357,4138618,1772897085,436.0,437.0,425.0,425.5,-15.0,7499,433.3,,-1.5901,-4.218,2.6279,425.35,441.9735,408.7265,447.5147,403.1853
2024-04-17,2357,2931144,1256217929,429.5,431.5,425.5,428.5,3.0,3208,432.35,,-1.8011,-3.7347,1.9336,426.35,441.8911,410.8089,447.0715,405.6285
2024-04-18,2357,3145285,1344155205,425.5,430.0,423.5,427.0,-1.5,2704,431.05,,-2.0655,-3.4008,1.3353,427.325,441.3694,413.2806,446.0509,408.5991
2024-04-19,2357,4740351,1969326799,422.5,425.0,407.0,413.5,-13.5,5701,429.1333,,-3.3261,-3.3859,0.0598,427.3,441.4015,413.1985,446.102,408.498
2024-04-22,2357,2220515,919683205,415.5,419.5,411.5,413.5,0.0,2511,427.5167,,-4.2758,-3.5639,-0.7119,426.975,441.6326,412.3174,446.5184,407.4316
2024-04-23,2357,2864147,1175814598,415.0,418.5,406.5,409.5,-4.0,3687,426.0833,,-5.2903,-3.9092,-1.3811,426.375,442.0786,410.6714,447.3132,405.4368
2024-04-24,2357,2219187,930191644,415.5,422.0,414.0,420.5,11.0,2489,425.3,,-5.1473,-4.1568,-0.9905,426.225,442.0256,410.4244,447.2925,405.1575
2024-04-25,2357,2324837,960056531,413.5,415.5,410.0,412.0,-8.5,2590,424.3333,,-5.6546,-4.4564,-1.1983,425.975,442.2045,409.7455,447.6143,404.3357
2024-04-26,2357,2391393,1003751326,412.5,422.5,412.5,419.0,7.0,2629,423.7667,,-5.4293,-4.6509,-0.7784,425.7,442.0927,409.3073,447.557,403.843
2024-04-29,2357,1967981,836783833,420.5,426.5,420.5,426.0,7.0,2378,423.5167,,-4.6325,-4.6473,0.0148,425.825,442.1994,409.4506,447.6576,403.9924
2024-04-30,2357,2435305,1050488135,425.0,434.5,425.0,430.0,4.0,2715,423.55,,-3.6363,-4.4451,0.8087,425.85,442.2386,409.4614,447.7014,403.9986
2024-05-02,2357,2850793,1222263831,427.0,432.0,426.5,427.5,-2.5,2925,424.1833,,-3.0139,-4.1588,1.145,426.075,442.4404,409.7096,447.8955,404.2545
2024-05-03,2357,2285854,985107786,431.5,435.0,428.5,429.0,1.5,2559,424.9,,-2.3721,-3.8015,1.4293,426.375,442.7306,410.0194,448.1825,404.5675
2024-05-06,2357,4435448,1965992782,433.5,451.5,433.0,448.5,19.5,5833,426.05,,-0.2868,-3.0986,2.8118,427.675,445.555,409.795,451.515,403.835
2024-05-07,2357,7667172,3530137399,452.5,466.0,451.5,460.0,11.5,8676,427.3833,,2.2677,-2.0253,4.293,429.375,450.2617,408.4883,457.224,401.526
2024-05-08,2357,5157165,2356869737,456.0,461.5,452.5,458.5,-1.5,4606,428.6167,,4.1235,-0.7955,4.9191,431.05,454.0238,408.0762,461.6818,400.4182
2024-05-09,2357,8520377,4056874325,460.5,483.0,460.0,475.0,16.5,10778,430.3333,,6.8468,0.7329,6.1139,433.05,460.3487,405.7513,469.4482,396.6518
2024-05-10,2357,4807279,2250958557,473.0,474.5,464.0,470.5,-4.5,7659,432.1167,,8.5434,2.295,6.2484,433.9,463.2269,404.5731,473.0026,394.7974
2024-05-13,2357,3221794,1499920845,473.0,476.0,459.0,466.0,-4.5,9306,433.5,,9.4163,3.7193,5.6971,435.025,466.1406,403.9094,476.5124,393.5376
2024-05-14,2357,22311557,11355280488,510.0,512.0,495.5,512.0,46.0,20043,436.45,,13.6625,5.7079,7.9545,438.6,479.0478,398.1522,492.5304,384.6696
2024-05-15,2357,11119531,5610290180,513.0,517.0,495.5,498.0,-14.0,19975,438.7333,,15.7167,7.7097,8.007,442.225,486.9733,397.4767,501.8894,382.5606
2024-05-16,2357,10300118,5271145358,505.0,520.0,500.0,516.0,18.0,12112,441.8333,,18.5829,9.8843,8.6986,446.6,497.3869,395.8131,514.3158,378.8842
2024-05-17,2357,6650888,3391198510,510.0,516.0,502.0,516.0,0.0,7662,444.9333,,20.6168,12.0308,8.586,451.05,506.3426,395.7574,524.7735,377.3265
2024-05-20,2357,8350700,4229913915,518.0,521.0,501.0,506.0,-10.0,8882,447.7167,,21.1776,13.8602,7.3174,455.675,512.2189,399.1311,531.0668,380.2832
2024-05-21,2357,10595451,5182909514,503.0,505.0,483.0,489.0,-17.0,13887,449.8167,448.1778,20.0195,15.092,4.9274,459.45,514.9867,403.9133,533.499,385.401
2024-05-22,2357,20479299,10602181920,499.5,535.0,493.0,522.0,33.0,19928,453.05,448.5889,21.5165,16.3769,5.1396,465.075,521.4421,408.7079,540.2312,389.9188
2024-05-23,2357,13864748,7194730610,531.0,531.0,512.0,520.0,-2.0,13727,455.8833,449.2,22.2846,17.5584,4.7261,470.05,526.9761,413.1239,545.9515,394.1485
2024-05-24,2357,10945610,5639258744,508.0,524.0,503.0,519.0,-1.0,9656,458.0667,449.9222,22.5527,18.5573,3.9954,475.4,530.6946,420.1054,549.1261,401.6739
2024-05-27,2357,14477961,7665566473,528.0,540.0,517.0,540.0,21.0,12561,461.2833,450.8778,24.1809,19.682,4.4989,481.45,537.0224,425.8776,555.5466,407.3534
2024-05-28,2357,15151879,7933543642,535.0,536.0,517.0,527.0,-13.0,15151,464.1667,451.6944,24.144,20.5744,3.5696,486.5,540.4397,432.5603,558.4195,414.5805
2024-05-29,2357,9830713,5128289191,523.0,526.0,513.0,524.0,-3.0,8203,467.45,452.4611,23.6006,21.1796,2.4209,491.2,542.6361,439.7639,559.7814,422.6186
2024-05-30,2357,11596152,5942945737,515.0,516.0,508.0,515.0,-9.0,11436,470.3333,453.0611,22.188,21.3813,0.8066,495.575,542.3393,448.8107,557.9274,433.2226
2024-05-31,2357,15312627,7838702490,517.0,517.0,507.0,513.0,-2.0,7734,473.2,453.6389,20.6688,21.2388,-0.57,499.775,540.4715,459.0785,554.037,445.513
2024-06-03,2357,7718574,3944815301,522.0,527.0,508.0,509.0,-4.0,7933,476.3833,454.3111,18.9239,20.7758,-1.8519,502.8,539.3139,466.2861,551.4852,454.1148
2024-06-04,2357,10194070,5069693776,508.0,509.0,491.5,496.0,-13.0,14319,479.1333,454.8556,16.3042,19.8815,-3.5773,504.6,537.9787,471.2213,549.105,460.095
